delegator_acc,validator_acc,bonded_token
somm1rmmym5wfl8xy82dhe3ghh2k5qzks638v3azvmc,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm14k49wx0fyc2m28v6trc87sern6u3a9sykjc6jp,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm18pay92jcp6zh8m9enhrvqt5z02zyhmycjpfnxq,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1r79uqglmvz6vqjhe65f0p3lhna4fc5k3eugh9k,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm10t8lusgdjqfnn9z2ea085mah9u65h839ecu29r,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm15nv6t6v0g23tpylxdu6n5chj3pd28rlyn5lvkn,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1hnanukpm3rjdmu4ezdmqxmwlsthhks3r0kpncx,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm197v8ex70ctx63teqhfe0j8lhhw5rmjqtzl52ah,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1krjmn29srd60xnz34zfjlwpl5n5uxnvjy94pqp,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1kv98xapa28s05x5exhupg3gzlfmkwfl32ye45r,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9emxup8,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm12wdcv2lm6uhyh5f6ytjvh2nlkukrmkdkc2h3m6,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm14nenrkrrxm6jjqp7rue7rxuzwngkmw86jgc80d,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm18l07sx5mu76ntk7assa0uy4kz8ucaw82k2hfhe,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1dz5f2ku92v96a46wceyperddsl92ya6x8etegd,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1jyuf6uvw7sd6azncyjd9yldej6t0c25a29k4gk,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1eyu7a2uahgdp9jlm5vulu5hs0xcyp4wzmvhg6v,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1l2scvs2wve6lfz2ujgvrlkrsnw6g68dx6y0ykw,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1ftkdaf64j80fvdxc93n489djm0hd38307sz82j,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1n29qfg6wegxqnn92upjj0ulwlqfjj4yqjydd0d,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1va2dv56w6x6t3qhxf9ctrhs3gz2cjcwmq8tgfy,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm103rqha0kps4kl9wr0lzqcjahfp3p6d5u52dgne,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1dpq7rg5nuc6ndepqj8apn386cgfqlr668ved78,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1px2q40q3twagt23d4jc7nwdu2kdw59dhu7nzq4,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm17dsway8g6zk9uqvtnxqv9y234wmd503ygmqdnj,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1h2jj5ntx2k7lnd4vdfap9cmtsp2tv0ayx9rm6h,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1c5ut67tkpf5wqvdfuevna642mkp2kk452vf25e,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1ljd6d8quzfn4zev99unxnz5x89frev3vngu9lr,sommvaloper1ejqsr74xw6syh9nmukmqqtnnup4znwjmrkdmm0,usomm
somm1as22d4fv5s25jn3ud0ctu2keksgruhmdpj60vj,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm17dcenffd3kqvh6aaelkjf2zyg7456dcrz5nwr3,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1guyadrx9kwt4dhrn3nrhx0uzf72nv9nz3pc9w3,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm12qpgx8l2f7x7pyrtvs8ky2dacefj007cf2ycc7,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm149cau2kdqd3vx2p8kqz3wy32wjejxzcx27qqfa,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1kv98xapa28s05x5exhupg3gzlfmkwfl32ye45r,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1yppjw2thnmrfc7tt0msuw6zcntngcdxd0pndhs,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm18lz45r3jznse0rxrfn79mxeepwt8kt0y7yzhjy,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1yfawp9m34kn7vppkkx78ntd3p5lg5cdk8nkyeg,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm13vyfz40lfclsdk9z2gpurfnvsamufkus53dz8x,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1ma0rake729kvtqfgp4lp7apr5cgzsq2jjnl7k2,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1nt4glhsmj8c5m5yzg6dlpawmuggqea0ufvel8c,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1yhppklazvehhap0je5lerlpuwzq9jhzvuzlqek,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm19ng9gamfwrjgswjx0k0vmk2z8kha453y97zqvc,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1l2scvs2wve6lfz2ujgvrlkrsnw6g68dx6y0ykw,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm132sr8zv7sjz6gkm00nktrj4j68zegf66f2zh5n,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm15a6vm7skdk5rpxp359p4m59kj79fae6037v9r4,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm12kct4cfuwh7vevec7c4y9slmee949qrje54psa,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm108pvkgt4yvrscqju02st3ac2nfs0r77xk30dpq,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1aevdt3mdcruyq7zq4c2zg89y6mwmeufyrm3rag,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1tmsxq5lp7vz953jva4c2ekxe3as26cm26fvnwx,sommvaloper173xq5ys8m7pvs2hesuz4ccx9mjuz2pthkq0zfj,usomm
somm1yng27xvqv0z7uszrzvcfkggdpnxgartqxux8tm,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1xa5cv3h8ez3u0lxt40qy5rs6cxmc2yfp3dr4gz,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1zqg753ll6zf85nzml67ure8zqqkpyvw8c6fg9y,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1xsqfn7h84rzgxekrsjmx7ktt5a3ylvw6zet26m,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm108gstdpfdlhtjyy7m9ztm3fyd8e6dgpy2fynnc,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1rxvnh0zfzp6tpandg75z4mcze7rkme0y98w3gt,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1t2t8uc9cktykl9hq39ue40pjhjx99qc45k5y3p,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1vwrruj48vk8q49a7g8z08284wlvm9s6emayz72,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1ym4ap4quu89gy0eh5ag0khwx64y63gjt779dd0,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1dhj3cedyl4cehqa8r4hu6vg7qpqgvwrrha9lh4,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1prj9gxmtuq3px0fp57t43xxuma74vlfdug0epq,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1fcdt5aanc2u5gy8hvwnrpqnjysqrngxzuanwxh,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1xwpgxsf39qv5zt2vva4fgsvrgmpxzh5a6dly30,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1gjftdy5prc8zzq6dvedlay2v8pczxm0rrkvp39,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1vxykcs9pyjkrnlv9vc4kaf4s6snprrsktvewu4,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1gkm5auug7fqfy2u9p8ctqa0j4xmxhphkzk4pqu,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm12mdekmt8f9vnrh4ldhmhspsrvlyus68qeqlt7a,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1gkcj3sa7fyjl9qepqjuaskq0qa8gvejqcdf8yc,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm189g9war7xmrl68g4rxjgafjl0e99jnh9f2mpky,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
somm1fr250zp4mym0s84g69x4e2kcf7cc84rkte96z4,sommvaloper1kkrw7naqmrtz5fyqsse3syzqnhl6wejdaxqlhh,usomm
