delegator,voting_power
somm170x503z95w0nj5ugl2ckr0890x05zss0w0k2pu,50000000.000000000000000000
somm10qymecrjmsctxs0jgf9jr3d2fxltyctk8wcw4f,50000000.000000000000000000
somm1euzyju46hkp0mmvj4mm9nsurgkcv2yxcv775uh,50000.000000000000000000
somm1vrml8rkxcstrneqv208wmd9f3yd5uwkwuqfp09,49950000.000000000000000000
somm16js7mlflujmecvhzsec6n7x49c3r7hcdftdxad,43000000.000000000000000000
somm1gw6yu9jetj2vrht8qrf9wmpjdq4weuee4su6vs,400000000.000000000000000000
somm1pdru4ur3n25kccfa7ne4deman5unn62vmwrd7r,4000000.000000000000000000
somm1wmdxg6g6zudalf9c3t0yj0lftctlw85kql3hyv,38900000.000000000000000000
somm1t64u2enf3t7jrq2sw49n2aqngxhpa4qj2fa7w2,35000000.000000000000000000
somm143w9ch4a3zxd8d50xj0xpkpjgsgl4remngtz5d,3466500000.000000000000000000
somm1ldtav5e8efvjmdzd8jefyk6rh4dtl2yz2n2fne,336200000.000000000000000000
somm1p59gee55s8gu5j05ejxvr56elv2pewtvmkgr9n,30456239.000000000000000000
somm1yc4j8yw2wh2fcq3k7zsvntysggd93lhmaj8phe,300000000.000000000000000000
somm1rmmym5wfl8xy82dhe3ghh2k5qzks638v3azvmc,30000000.000000000000000000
somm14k49wx0fyc2m28v6trc87sern6u3a9sykjc6jp,300000.000000000000000000
somm18pay92jcp6zh8m9enhrvqt5z02zyhmycjpfnxq,29993750.000000000000000000
somm1r79uqglmvz6vqjhe65f0p3lhna4fc5k3eugh9k,29851900000.000000000000000000
somm1esfv6n47eplr769qrv4v98kxlw2al4q49dlyyy,286500000.000000000000000000
somm18lv5fc9cscn0nxamlv0f0qp0f6h32c6d688r5e,28000000.000000000000000000
somm1srhzr4s6k3fqx2mzrfpwjz6ffy7t6j6xazp9w8,277000000.000000000000000000
somm1rtg55elpzslmrnwsu4q7ypua67dd9zu0930qrh,2718300000.000000000000000000
somm16j8y8t42v86agp33auv3fkjtcjgpp8vwy4gups,270000000.000000000000000000
somm1y9eq6zm83ugn06epf29ydcdh2d8f7p8v7j4s27,2650000.000000000000000000
somm10v5kgr5hwjtgakazhu0hy0hdxzhlztpfmuvhw6,25000000.000000000000000000
somm18q6lfwunafjc2l255sda6ztjkfy2qcy9ffksm3,25000000.000000000000000000
somm1302djxkzje9zkt0ry88hm0zq6ndswmuurejgtp,233000000.000000000000000000
somm1lvq7zup9ppn23kp9zp5mjes0rl42c3xsttwxw6,2265200000.000000000000000000
somm1jz90efkd96lwj02zkhnlhe6mqsncmckdfeymxv,20000000.000000000000000000
somm18kw7zgxdzdh3t7x4n3n09jpgytr6f8d36wc6s4,20000000.000000000000000000
somm1g2xwrvr5zd37vcmydc5y4dz6s8qw04ct5z5exd,20000000.000000000000000000
somm1xart8ces8etr8gnan499860rf6mec3mzmr7c9t,19000000.000000000000000000
somm1gemss7jcmvpjdnkqkhfp56jgwvfe6t880vm476,186200003.000000000000000000
somm1rvdwuczdnnpevp6qe5yq9d38ruvd7vv8rnkkqz,16500000.000000000000000000
