delegator_acc,validator_acc,bonded_token
juno184vnnwy3j4zmsjrml28y8heq47uhq8ar2ltlz4,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1kap7nwd344grm7wxryxjeuxr30edt8cfwfu6wl,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno16g508lpuzdn6c88qgv8rhy0kyjeeuax59qyts5,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno14z0kly4zssz0zv6c48awhhfj6k8xw8mm4ltkeg,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1p9uhfmkk25jdcd9ncc4rnq8chp2hq4fc7jd8p8,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1mhlv7rqz4ex87q6yt8mwr5r8hp2mdw6a84rpz5,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1egusc5pum408egd4nuhxy70crceulc8rxqf8tg,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno19xjlltqxmt7tzw4u87z47z2568uc986e7js32l,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1tszeev4mlvx8p6jx054zwx7rm2c5a3saah34q3,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno155unwmv8h3jcv6hlm9fcaqlcfeyvc4nxtr5lu4,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1ehmc7ac8q8v9qx4q8qc0zmavq4pjd6jwc0fav2,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1v2lyt434pa5r940h3tr9rcyxgswl986fsk90fl,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1mdkelaahzgv0k97xr05p76zvevps8nxulmluf3,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1wy8f7ckwpckqmascd5phl6qsheh6lwzt2r5uzx,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1kdj96jq9x7pr6tazeg0etyk90qnv7es9pxvrrd,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1axrnh6av8q38tn47l4w7v7skrr0pvv7xe9q0kt,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1f5juzaw8htqkkl6cymauudwep2cm5g6wtvhwpt,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1uwehkcww0uc9zh5n3qf5wfg6xnghms76mr5ue9,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno10dau3l3pe87s04jalr6alqewazr2272llrezpp,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1r8vkcne6rfyey42gqnlxc65kpnga2nqng79udw,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
