delegator_acc,validator_acc,bonded_token
evmos1prl7s935y2fvehq6zyc76mljegxp5l5lu08hd0,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,aevmos
evmos1pyg34y3vuemcfmzm7cpwh4xsh4j3qlcthkxza2,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,aevmos
evmos1qdavg7ye9c3ngraagy20yxy5xqmezccqlvq980,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,aevmos
evmos1qq2t4k7ntezgjwdy4meaycfs6zska5xzt0ehfq,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,aevmos
evmos1q68k4ja6x4spemkv4y6y6segjvzvj0asr6h6wv,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,aevmos
evmos1q48p2l97ys7c5cfe5dctu7ypn4rzl7j7xs66wp,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,aevmos
evmos1q345keckvy6cm0n2a6pdu78vhf92slh8cgajsw,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,aevmos
evmos1f3uj7ywcf73enc3hy8wtyzsh7ppvhn6yx0lwq9,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1vcvlkmrwr9kpj2zdq8q35fctln5z2vlh7psx3g,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1tam9s0ecw74suv3w8m5ewsx9c8pa5nt7l6gkeg,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos10a7ksn46nt9zsgc3kkpcylvvy3h60dz7waymlk,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1jgwzsm3glphgtq8lhyxpmv0gmex8ur4tzppa0h,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1hgsxyjg7s42zr0fyjw9qsvpfz07kxvg3v07kyt,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1ql9tsdxrnlnhe9ns8vp45hjnvz6y9e8evglhlg,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1fspud0mzm56z82nakv2m9ph55jqwa64gu34y7y,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1jg23v2ahg2h39kcnfklq7dm03324pqls6c2349,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1csk2f6q9jnkf7nhvxu5wcxx5hxk25jkz80fg9s,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1g4kd3tjsautjxqmdxpm8k7qsa6vlz37s45nkha,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1x4uj2n6cqhgkdd52tpejquzyfqs05jl3k3djm8,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos15z2wjpsajm2nzxpaaaskttfztc3lfhnj9k95va,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1cu3wxg92ctgu8q74zpysxu7prfy8v9hz6gr4uu,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1hx5ltn02hhx59lgf54ru6zvdhmf7edv9cmgrnc,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1uvqwcanxjwewx5pmeefc0stuh66runypjhtgn6,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos132q66gglrfkrxtsmvkq3lz3nqf0j3jew0pukwx,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos10vqp96wnymq6g0ea5wdqy68ql6ggu4wglqwjek,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1zruzq2tfdh5c0tk3jm7pgx6tw3wjcqq2ds54l8,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos12tlcm9nz7lytt3trv0um5zd0hhme9het6n6fsg,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3,aevmos
evmos1h4ss9dcnue9u8g7kvymkhaza4zxt74e7zwhw2t,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1res70qjq47e2acmgfc909n373y3r2my4kgdk3g,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos15dqftefvpnfm3yvqm3lvff3p22glqu4e3a4hvn,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1yyqz3t7w8k5qr4upcnmdv9k08vcvsha85a0ssf,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1lckv25e5h4ghszknsnljlq40fxfad535kcvmre,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1nk6398kwjz8v639g53zzpql64et68y7agdrq0d,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1sh2r0lk8f6vjg35ujxzrt0twe3f04rt8e8ys0k,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1zk5rdwqzy5lvs8z76xetx9ktqh5ueh8sa9xr7p,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1q8y4m68exj9q2d00gcgmeqgn24w0fsvm4dt59m,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos17vjt7859nd62eud8dqh9zhffuneqdjafyuke4r,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1zjhsef6suh6q38lmhuuq6uyxp6r8d867xn6r9g,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos156p2vm4qgj4pmslwx90kcdjpfaes2j68f5pls7,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1agg8ngg54lxs6ll7y9c6quxexxgezw7xnzy3jy,evmosvaloper1res70qjq47e2acmgfc909n373y3r2my4mxzxs4,aevmos
evmos1qs3r6u3dnyc7ed5wdjn7j6v6x7mxang0qp06zt,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1pppr25gfa2dlupassc5yc5ky2ttjgpvfe42qcl,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1pwttvdzt92xspdssnyksu6hmjrpyhnarqwvz7f,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qppqeaa4p46dsamp7xn2zwhwxe5ec04qg2dsj3,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1q458fvua3nk3a6ruhmuvrtuseqsx3z90ecckh6,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qrz7v7jnqdrxvjlt93mckmp9e7tjfdtwc5sjaf,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qhmhlu95fc6yf2n2y3zuvdqyk5ps5zu6hwjp8t,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1q9te47shk92na72lr668zw8fqw0n0rachp4gtl,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qjsjpnm8a3tk6sv7p70jqkuqa6qmckqu69p8de,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qatkvlfda4jszngdzmmauzrseaugcc2dnrm4fq,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qqzl0wweg7amvaexea72t57rhwynrdrllnd7g4,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1p5f3lh8avrfx9npqm52varltrsv3jum84cp9e6,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1q5j4ehrpzm3apy92p2u78zuzqep44r9k2xu3qk,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1p4etuc37jgagcmjxnnpev2agh2rqs3fv86ulxc,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qtzng3az26aks8d8rwfm44f2g0zvx7carq2kh2,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1pw3zwhwj5a6g4wg7tmwpe4h3p4swh3y00cuqw0,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qml6fdk27kzjns27q9us3staf8rkmhrvhn04yy,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1pplqemvprha3mn4j4tkqdyvhvdylvp2hztv0rq,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qgrepde6vw5e9h5k7qym0wpn9gfehjea3hf0xr,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1ql9tsdxrnlnhe9ns8vp45hjnvz6y9e8evglhlg,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1qnf9rnpuf7ujjyfc8wl337n3vuaa779uxrkz6g,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1pgnwe493jx5mdhcvy8zgav0n93ceuk678pm98y,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
evmos1pqqljnrprrvr49pacqn7xzlmxapyewvylj3c9s,evmosvaloper1x322q9d7dvm0xw9966c8730pn083rv3q6ddtyx,aevmos
